group,cash,invest
0,0.15651643690790715,0.058798708701429628
0,0.10135269750328404,0.053735684848370532
0,0.03174476942815635,0.056073124512801539
0,0.15303898327499649,0.11472394563698987
0,0.041469559531010447,0.064022418832885591
0,0.1321113840052103,0.10633519615280108
0,0.11239691598415236,0.092526359235465733
0,0.058374584318521827,0.070418682196953075
0,0.091449190527388008,0.063334210068095753
0,0.0958815232596332,0.098494368939395102
0,0.19811974230194196,0.042575012736729076
0,0.18511999436732454,0.10393758431697035
0,0.13073669677374755,0.059624074778845751
0,0.17620988776143251,0.10981879448189076
0,0.072311407750569712,0.089723073596479963
0,0.051422555666129716,0.046493766509913867
0,0.11196319404042597,0.029675594903626624
0,0.15301062924007441,0.12767172814501304
0,0.091306304542940905,0.071390049382413223
0,0.15268631646809075,0.060246922690625121
0,0.094236603273140318,0.058635681693234062
0,0.087640877900893588,0.030938464340879317
0,0.15332621243037398,0.057321563929928696
0,0.15226860361100666,0.12161103038580309
0,0.1818378317637252,0.16966328223341606
0,0.078532923911104335,0.0699787726016355
0,0.16711606328498907,0.084224891615938616
0,0.027898415076676994,0.050135501432284874
0,0.18533681615130057,0.060378272954748742
0,0.12704882096447381,0.14297974704797378
0,0.033224317178800672,0.021692590435538939
0,0.096765993751702167,0.055077856485241446
0,0.069646157136897716,0.038314995814618613
0,0.17193888906956603,0.055471469646999026
0,0.16130144162861157,0.093958948469787112
0,0.06176542585146623,0.087560561920918933
0,0.10130628583339731,0.073654219241525293
0,0.053925574806529347,0.041288893493954031
0,0.039358824845256782,0.063999853274597382
0,0.1687765782858382,0.097124784307406592
0,0.19425440217326101,0.11566292035122724
0,0.13112370227015979,0.074470682164211516
0,0.15548549357001504,0.047784798522661494
0,0.12064916496500065,0.046150994037693002
0,0.066788555757949966,0.12148042071953888
0,0.082614856185914382,0.10410160494742712
0,0.1077320385805821,0.027059728965717129
0,0.18788169321398773,0.07037340571362348
0,0.1914500249540399,0.070091592278196974
0,0.029201887658797273,0.056214869069488832
0,0.15604367359240118,0.12836620647229471
0,0.10225365734914996,0.041011637764958898
0,0.043043362870105351,0.071331305966977537
0,0.12311173733126866,0.086962623438955167
0,0.031647071130585847,0.024576507777286195
0,0.061798723391961019,0.072313024205739485
0,0.15781774680007402,0.0058650829620053857
